Country,Country Code,Year,Male-Female ratio,Total suicide rate
Bulgaria,BGR,1994,2.9021817339999996,13.8071
Bulgaria,BGR,2000,3.2059855839999996,13.052480000000001
Bulgaria,BGR,1987,2.9069792469999998,13.861239999999999
Bulgaria,BGR,1997,2.5907352219999997,13.697460000000001
Bulgaria,BGR,1998,2.89385932,14.18205
Bulgaria,BGR,1999,3.40091817,12.25715
Bulgaria,BGR,1985,2.7912129660000002,13.53859
Bulgaria,BGR,2001,3.1577350230000003,12.40352
Bulgaria,BGR,2002,3.538991202,12.3741
Bulgaria,BGR,2004,3.439459096,9.517831
Bulgaria,BGR,2003,3.273246387,10.38297
Bulgaria,BGR,1996,3.2059037889999997,14.4721
Burkina Faso,BFA,2004,1.9616320059999999,8.204221725
Burundi,BDI,2004,3.20470341,14.68093586
Cambodia,KHM,2004,2.039543181,4.961071491
Cameroon,CMR,2004,1.738670792,7.214220524
Canada,CAN,1977,2.882434677,14.12873
Canada,CAN,1962,3.674934732,8.002673
Canada,CAN,1954,3.1436980119999998,7.803952000000001
Canada,CAN,1955,3.192913652,7.667578
Canada,CAN,1956,3.390424554,8.347555
Canada,CAN,1957,3.6023916710000004,8.257942
Canada,CAN,1958,4.011051746000001,8.249329
Canada,CAN,1959,3.720728481,8.147938
Canada,CAN,1960,3.99779148,8.403478999999999
Canada,CAN,1961,4.052930298,8.312451
Canada,CAN,1952,3.2567667819999997,7.786166000000001
Canada,CAN,1950,3.3799990760000003,8.201165
Canada,CAN,1975,2.582595495,12.504560000000001
Canada,CAN,1965,2.898320874,9.751631
Canada,CAN,1966,2.966532698,9.506003
Canada,CAN,1967,2.785801447,9.954080000000001
Canada,CAN,1968,2.75676834,10.67558
Canada,CAN,1969,2.53189089,11.75264
Canada,CAN,1970,2.563507448,12.15343
Canada,CAN,1971,2.69225317,12.616539999999999
Canada,CAN,1972,2.500573943,12.786389999999999
Canada,CAN,1973,2.542782252,13.054839999999999
Canada,CAN,1974,2.6084735919999997,13.286220000000002
Canada,CAN,1963,3.055719472,8.473262
Canada,CAN,1951,3.075045713,7.869432000000001
Canada,CAN,1964,3.0313528819999997,9.206102
Canada,CAN,1976,2.524667849,12.90813
Canada,CAN,1983,3.3684760639999998,14.30516
Canada,CAN,1978,3.041278759,14.53326
Canada,CAN,1990,3.9380484410000003,11.86393
Canada,CAN,1982,3.437566256,13.84684
Canada,CAN,1953,3.443998793,7.629455999999999
Canada,CAN,1984,3.504685018,12.95502
Canada,CAN,1985,3.795204069,12.08838
